Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Boston Bruins,20222023,58,45,8,--,5,95,0.819,39,43,2,217,121,3.74,2.09,23.9,86.4,21.8,88.9,33.2,29.4,55
Carolina Hurricanes,20222023,58,39,11,--,8,86,0.741,29,36,3,195,149,3.36,2.57,19.4,82.7,16.8,88.3,35.2,26.4,53.1
New Jersey Devils,20222023,59,39,15,--,5,83,0.703,29,38,1,207,155,3.51,2.63,20.5,81.5,17.5,84.8,34.3,28.3,51.7
Toronto Maple Leafs,20222023,60,37,15,--,8,82,0.683,31,37,0,207,157,3.45,2.62,25.3,81.5,23.1,84.8,32.2,28.9,53.2
Tampa Bay Lightning,20222023,59,37,18,--,4,78,0.661,30,35,2,210,174,3.56,2.95,25.7,81.2,20.8,82.3,32.2,31.4,52.1
New York Rangers,20222023,60,34,17,--,9,77,0.642,27,31,3,198,166,3.3,2.77,22.7,78.8,21.1,82.9,32.1,29.1,48.8
Vegas Golden Knights,20222023,59,35,18,--,6,76,0.644,26,32,3,189,163,3.2,2.76,21.1,79.5,19.7,84.3,32.8,30.3,52.6
Los Angeles Kings,20222023,61,33,20,--,8,74,0.607,24,28,5,200,205,3.28,3.36,25.6,75.4,22.7,77.8,32.1,28.4,52.7
Dallas Stars,20222023,59,31,16,--,12,74,0.627,26,28,3,188,151,3.19,2.56,22.6,83.4,20.9,86.6,32.2,31.3,54.7
Minnesota Wild,20222023,60,33,21,--,6,72,0.6,23,27,6,169,163,2.82,2.72,23.7,82.3,22.6,86.5,31.3,30,47.3
Edmonton Oilers,20222023,60,32,20,--,8,72,0.6,30,32,0,230,197,3.83,3.28,32.1,75,29.7,80.2,33.7,31.7,50.3
Winnipeg Jets,20222023,60,35,24,--,1,71,0.592,27,34,1,181,159,3.02,2.65,21.5,84.7,19.5,87.1,30,31,48.4
Colorado Avalanche,20222023,57,33,19,--,5,71,0.623,23,29,4,178,154,3.12,2.7,23.1,77.7,22,80.5,33.3,32.2,46.3
Seattle Kraken,20222023,59,32,21,--,6,70,0.593,27,32,0,203,186,3.44,3.15,20,72.8,15.9,74.6,29.9,27.9,45.4
New York Islanders,20222023,63,31,25,--,7,69,0.548,27,31,0,183,170,2.9,2.7,16.9,82.4,14,84.6,30.4,31.7,50.3
Pittsburgh Penguins,20222023,59,29,21,--,9,67,0.568,23,28,1,191,189,3.24,3.2,21.7,79.9,19.2,82.5,33.7,34,52
Buffalo Sabres,20222023,58,31,23,--,4,66,0.569,23,30,1,219,202,3.78,3.48,25,72.8,23,77.5,32.3,32.9,45.7
Calgary Flames,20222023,60,27,21,--,12,66,0.55,22,26,1,189,184,3.15,3.07,20.2,80.9,18.7,83.7,35.4,27,50.9
Florida Panthers,20222023,61,29,26,--,6,64,0.525,25,27,2,208,212,3.41,3.48,21.6,74.2,18.3,76.5,36.6,32.4,48.5
Washington Capitals,20222023,62,29,27,--,6,64,0.516,23,28,1,187,185,3.02,2.98,21.3,82.1,18.6,84.5,31.5,30.1,49.7
Nashville Predators,20222023,57,29,22,--,6,64,0.561,22,26,3,166,170,2.91,2.98,18.7,80.7,15.4,82.2,30.7,33.6,51.9
Detroit Red Wings,20222023,58,28,22,--,8,64,0.552,22,26,2,177,181,3.05,3.12,21,78.3,16.5,80.1,29,30.7,48.8
Ottawa Senators,20222023,58,28,26,--,4,60,0.517,21,26,2,175,185,3.02,3.19,25,82.2,22.2,84.6,33.1,32.3,51.3
St. Louis Blues,20222023,59,26,28,--,5,57,0.483,18,23,3,177,214,3,3.63,20.4,76.2,15.7,79.6,28.9,32.5,50.6
Philadelphia Flyers,20222023,61,23,28,--,10,56,0.459,21,22,1,160,201,2.62,3.3,15.6,76,11,81.9,29.3,31.3,45.7
Montréal Canadiens,20222023,59,25,30,--,4,54,0.458,16,21,4,159,214,2.69,3.63,16.8,73.8,15.1,75.3,27.9,33.7,49.3
Vancouver Canucks,20222023,59,23,31,--,5,51,0.432,15,20,3,196,234,3.32,3.97,22.6,66.3,17.6,70.4,30.8,31.1,49.5
Arizona Coyotes,20222023,59,20,30,--,9,49,0.415,15,17,3,157,208,2.66,3.53,19.1,74.8,18,76.6,25.7,35.5,45.5
San Jose Sharks,20222023,60,18,30,--,12,48,0.4,14,17,1,178,217,2.97,3.62,18.6,83.6,13,84.8,29.8,31.3,50.1
Chicago Blackhawks,20222023,58,21,32,--,5,47,0.405,13,19,2,145,207,2.5,3.57,17.3,76.3,12.5,79.9,27.1,33.9,54.6
Anaheim Ducks,20222023,60,19,34,--,7,45,0.375,9,16,3,149,247,2.48,4.12,15.7,73.3,12.8,73.8,29.1,39.8,46
Columbus Blue Jackets,20222023,60,19,35,--,6,44,0.367,14,18,1,153,221,2.55,3.68,16.3,77.1,11.9,79.8,29.2,35,48.5
