Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
New York Rangers,19931994,84,52,24,8,--,112,0.667,49,52,0,299,231,3.56,2.75,23,84.6,21.8,89.2,34.2,27.7,--
New Jersey Devils,19931994,84,47,25,12,--,106,0.631,46,47,0,306,220,3.64,2.62,18.3,81.1,15.9,83.8,31.6,29,--
Pittsburgh Penguins,19931994,84,44,27,13,--,101,0.601,40,44,0,299,285,3.56,3.39,18.8,82,16.1,83.5,32.5,31.9,--
Detroit Red Wings,19931994,84,46,30,8,--,100,0.595,41,46,0,356,275,4.24,3.27,20.8,80.9,17.4,86.7,35.6,27.4,--
Toronto Maple Leafs,19931994,84,43,29,12,--,98,0.583,39,43,0,280,243,3.33,2.89,19.2,81.9,17.2,83.9,30.1,30.4,--
Boston Bruins,19931994,84,42,29,13,--,97,0.577,40,42,0,289,252,3.44,3,21.7,84.7,19.4,89.2,35.5,25.2,--
Calgary Flames,19931994,84,42,29,13,--,97,0.577,39,42,0,302,256,3.6,3.05,21.2,80.7,19,84.1,31.4,27.5,--
Dallas Stars,19931994,84,42,29,13,--,97,0.577,36,42,0,286,265,3.4,3.15,18.4,84.1,14.8,86,30.5,30.8,--
Montréal Canadiens,19931994,84,41,29,14,--,96,0.571,38,41,0,283,248,3.37,2.95,20.1,82.6,17.5,84.6,31.2,30.2,--
Buffalo Sabres,19931994,84,43,32,9,--,95,0.565,43,43,0,282,218,3.36,2.6,22.6,84.7,20.8,90.3,28.2,29.3,--
St. Louis Blues,19931994,84,40,33,11,--,91,0.542,36,40,0,270,283,3.21,3.37,20.5,81.2,17.1,85.6,30.6,35.1,--
Washington Capitals,19931994,84,39,35,10,--,88,0.524,37,39,0,277,263,3.3,3.13,18.1,81.6,15,83.6,31,25.9,--
Chicago Blackhawks,19931994,84,39,36,9,--,87,0.518,37,39,0,254,240,3.02,2.86,17.5,83.4,14.9,86.9,30.3,29.3,--
Vancouver Canucks,19931994,84,41,40,3,--,85,0.506,36,41,0,279,276,3.32,3.29,18.8,81.7,16.3,84.7,31.3,27.2,--
New York Islanders,19931994,84,36,36,12,--,84,0.5,31,36,0,282,264,3.36,3.14,20.1,81.1,17.6,84.7,29.9,30.5,--
Florida Panthers,19931994,84,33,34,17,--,83,0.494,31,33,0,233,233,2.77,2.77,15.9,82.6,12.2,84.6,27.3,33.4,--
San Jose Sharks,19931994,84,33,35,16,--,82,0.488,31,33,0,252,265,3,3.15,16,78.6,13,80.3,25,28.4,--
Philadelphia Flyers,19931994,84,35,39,10,--,80,0.476,32,35,0,294,314,3.5,3.74,20.8,80.7,17.1,82.9,28.7,31.7,--
Quebec Nordiques,19931994,84,34,42,8,--,76,0.452,34,34,0,277,292,3.3,3.48,15.6,79.6,11.4,81.9,28.6,30.6,--
Tampa Bay Lightning,19931994,84,30,43,11,--,71,0.423,27,30,0,224,251,2.67,2.99,14.7,82.7,9.5,84.8,29.8,27.3,--
Anaheim Ducks,19931994,84,33,46,5,--,71,0.423,31,33,0,229,251,2.73,2.99,14.4,82.7,10.9,85.1,28.6,31.1,--
Los Angeles Kings,19931994,84,27,45,12,--,66,0.393,24,27,0,294,322,3.5,3.83,20.7,80.5,18.9,84.6,33,36.3,--
Edmonton Oilers,19931994,84,25,45,14,--,64,0.381,24,25,0,261,305,3.11,3.63,18.4,80.6,16.2,81.1,30.3,34.4,--
Hartford Whalers,19931994,84,27,48,9,--,63,0.375,23,27,0,227,288,2.7,3.43,15,78.9,12.8,80.8,27.6,30.8,--
Winnipeg Jets (1979),19931994,84,24,51,9,--,57,0.339,23,24,0,245,344,2.92,4.1,19.4,79.6,15.4,82.5,29.4,33.3,--
Ottawa Senators,19931994,84,14,61,9,--,37,0.22,10,14,0,201,397,2.39,4.73,14.5,73.3,11.3,75.5,25.6,33,--
Detroit Red Wings,19951996,82,62,13,7,--,131,0.799,59,62,0,325,181,3.96,2.21,21.3,88.3,19.3,92.8,32.3,24.2,--
Colorado Avalanche,19951996,82,47,25,10,--,104,0.634,45,47,0,326,240,3.98,2.93,21.3,83.8,15.8,88.6,32.2,28.9,--
Philadelphia Flyers,19951996,82,45,24,13,--,103,0.628,41,45,0,282,208,3.44,2.54,19.7,85.8,18,88.6,30.9,25.9,--
Pittsburgh Penguins,19951996,82,49,29,4,--,102,0.622,46,49,0,362,284,4.41,3.46,26,83.3,23.1,87.2,32.3,34.6,--
New York Rangers,19951996,82,41,27,14,--,96,0.585,39,41,0,272,237,3.32,2.89,19.8,82,17.3,83.2,32.6,30.2,--
Chicago Blackhawks,19951996,82,40,28,14,--,94,0.573,39,40,0,273,220,3.33,2.68,17.7,85.5,15.7,88.4,27.3,28.5,--
Florida Panthers,19951996,82,41,31,10,--,92,0.561,41,41,0,254,234,3.1,2.85,17.3,83,14.7,86,28.8,27.9,--
Boston Bruins,19951996,82,40,31,11,--,91,0.555,38,40,0,282,269,3.44,3.28,18.7,80.4,16.8,84.2,34.6,26.9,--
Montréal Canadiens,19951996,82,40,32,10,--,90,0.549,38,40,0,265,248,3.23,3.02,19,82.2,16.3,86.1,28.8,32.4,--
Washington Capitals,19951996,82,39,32,11,--,89,0.543,35,39,0,234,204,2.85,2.49,15.6,82.6,13.9,85.7,30.1,24.9,--
Tampa Bay Lightning,19951996,82,38,32,12,--,88,0.537,35,38,0,238,248,2.9,3.02,20.8,84.5,17.5,85.9,31,29.6,--
New Jersey Devils,19951996,82,37,33,12,--,86,0.524,30,37,0,215,202,2.62,2.46,15,84.6,12.5,88.1,32.2,26.5,--
Toronto Maple Leafs,19951996,82,34,36,12,--,80,0.488,30,34,0,247,252,3.01,3.07,19,82.6,16.9,85.4,32.6,31.8,--
St. Louis Blues,19951996,82,32,34,16,--,80,0.488,31,32,0,219,248,2.67,3.02,16.5,83,14.7,85.3,31.1,29.8,--
Calgary Flames,19951996,82,34,37,11,--,79,0.482,32,34,0,241,240,2.94,2.93,18.4,80.1,16.1,82.8,30.1,27.1,--
Vancouver Canucks,19951996,82,32,35,15,--,79,0.482,31,32,0,278,278,3.39,3.39,16.8,81.3,13.6,85.7,30.1,30.2,--
Anaheim Ducks,19951996,82,35,39,8,--,78,0.476,29,35,0,234,247,2.85,3.01,14.1,80.9,12.9,83.2,28.7,32.2,--
Winnipeg Jets (1979),19951996,82,36,40,6,--,78,0.476,34,36,0,275,291,3.35,3.55,19.7,79.5,16.8,81.9,29.4,33.7,--
Hartford Whalers,19951996,82,34,39,9,--,77,0.47,32,34,0,237,259,2.89,3.16,18,80.7,15.6,82.5,30.4,33.7,--
Buffalo Sabres,19951996,82,33,42,7,--,73,0.445,31,33,0,247,262,3.01,3.2,15.9,84,13.4,86.1,28.5,35.5,--
Edmonton Oilers,19951996,82,30,44,8,--,68,0.415,26,30,0,240,304,2.93,3.71,15.9,80.8,13.3,83.2,30,30.4,--
Dallas Stars,19951996,82,26,42,14,--,66,0.402,25,26,0,227,280,2.77,3.41,15.1,80.4,10.6,82.3,30.1,30.8,--
Los Angeles Kings,19951996,82,24,40,18,--,66,0.402,21,24,0,256,302,3.12,3.68,18,81.1,13.5,84.3,31.4,35.4,--
New York Islanders,19951996,82,22,50,10,--,54,0.329,20,22,0,229,315,2.79,3.84,18.8,78.3,14.8,80.2,28.2,32,--
San Jose Sharks,19951996,82,20,55,7,--,47,0.287,19,20,0,252,357,3.07,4.35,16.1,76.6,10.9,80.4,26.1,33.1,--
Ottawa Senators,19951996,82,18,59,5,--,41,0.25,18,18,0,191,291,2.33,3.55,12.3,77.9,9.1,79.5,26.9,30.5,--
Colorado Avalanche,19961997,82,49,24,9,--,107,0.652,46,49,0,277,205,3.38,2.5,20.6,87.6,17.6,91.7,32,30.2,--
New Jersey Devils,19961997,82,45,23,14,--,104,0.634,44,45,0,231,182,2.82,2.22,13.9,88.1,10.8,89.8,31.6,26.3,--
Dallas Stars,19961997,82,48,26,8,--,104,0.634,44,48,0,252,198,3.07,2.41,14.7,83.4,11.8,87,29.7,25.3,--
Philadelphia Flyers,19961997,82,45,24,13,--,103,0.628,42,45,0,274,217,3.34,2.65,14.6,85.7,12.4,88.9,32.2,25.7,--
Detroit Red Wings,19961997,82,38,26,18,--,94,0.573,31,38,0,253,197,3.09,2.4,17.9,86.7,15.8,89.6,33.2,25.3,--
Buffalo Sabres,19961997,82,40,30,12,--,92,0.561,35,40,0,237,208,2.89,2.54,13.2,83.8,12,88.2,25.5,33.3,--
Florida Panthers,19961997,82,35,28,19,--,89,0.543,32,35,0,221,201,2.7,2.45,14.2,85.6,9.4,87,29.1,28.8,--
New York Rangers,19961997,82,38,34,10,--,86,0.524,35,38,0,258,231,3.15,2.82,22,79.9,20.2,84.3,30.8,31.6,--
Anaheim Ducks,19961997,82,36,33,13,--,85,0.518,33,36,0,245,233,2.99,2.84,16.8,81.6,13.5,84.2,28.4,32.8,--
Pittsburgh Penguins,19961997,82,38,36,8,--,84,0.512,37,38,0,285,280,3.48,3.41,21.8,81.1,18.3,84.3,29.4,34.3,--
St. Louis Blues,19961997,82,36,35,11,--,83,0.506,35,36,0,236,239,2.88,2.91,15.3,83.4,12.8,86.1,29.5,27.4,--
Phoenix Coyotes,19961997,82,38,37,7,--,83,0.506,33,38,0,240,243,2.93,2.96,18.1,85.9,14.2,88.6,30.1,30.7,--
Chicago Blackhawks,19961997,82,34,35,13,--,81,0.494,33,34,0,223,210,2.72,2.56,14.8,84.2,11.8,85.6,30.4,29.5,--
Edmonton Oilers,19961997,82,36,37,9,--,81,0.494,35,36,0,252,247,3.07,3.01,18,82.5,14.8,85.2,30.7,31.2,--
Montréal Canadiens,19961997,82,31,36,15,--,77,0.47,29,31,0,249,276,3.04,3.37,15.7,79.5,12.5,82.4,30.2,33.9,--
Ottawa Senators,19961997,82,31,36,15,--,77,0.47,31,31,0,226,234,2.76,2.85,16.7,81.9,13.1,85.3,29.2,25.8,--
Vancouver Canucks,19961997,82,35,40,7,--,77,0.47,30,35,0,257,273,3.13,3.33,16.8,80.8,14.2,84.3,28.1,30.2,--
Washington Capitals,19961997,82,33,40,9,--,75,0.457,31,33,0,214,231,2.61,2.82,15.8,84.8,12.7,87,28.9,26.4,--
Hartford Whalers,19961997,82,32,39,11,--,75,0.457,29,32,0,226,256,2.76,3.12,18.1,84.6,14.6,88.3,29.7,31.5,--
Tampa Bay Lightning,19961997,82,32,40,10,--,74,0.451,28,32,0,217,247,2.65,3.01,13.8,84.8,11.2,88.4,31.4,28.8,--
Calgary Flames,19961997,82,32,41,9,--,73,0.445,29,32,0,214,239,2.61,2.91,16.9,83.2,11.6,86.4,31.4,28.5,--
New York Islanders,19961997,82,29,41,12,--,70,0.427,26,29,0,240,250,2.93,3.05,13.9,83.4,11.3,87.8,26.7,30.3,--
Toronto Maple Leafs,19961997,82,30,44,8,--,68,0.415,29,30,0,230,273,2.8,3.33,15.5,82,12.9,85.4,29.3,34.4,--
Los Angeles Kings,19961997,82,28,43,11,--,67,0.409,28,28,0,214,268,2.61,3.27,13.6,87.2,9.5,88.6,29,33.9,--
San Jose Sharks,19961997,82,27,47,8,--,62,0.378,24,27,0,211,278,2.57,3.39,14.3,83.9,11.2,86.1,28.8,29.2,--
Boston Bruins,19961997,82,26,47,9,--,61,0.372,23,26,0,234,300,2.85,3.66,14.8,81.8,12.9,86.7,29.6,29.6,--
Dallas Stars,19971998,82,49,22,11,--,109,0.665,44,49,0,242,167,2.95,2.04,20,88,17.7,91.2,26.8,22.8,54.9
New Jersey Devils,19971998,82,48,23,11,--,107,0.652,46,48,0,225,166,2.74,2.02,18.9,86.7,16.2,88,29.3,23.7,51.4
Detroit Red Wings,19971998,82,44,23,15,--,103,0.628,44,44,0,250,196,3.05,2.39,17.6,86.4,15.8,88.6,30.9,25.8,53.2
Pittsburgh Penguins,19971998,82,40,24,18,--,98,0.598,37,40,0,228,188,2.78,2.29,16.5,86.4,12.5,89.6,26.5,26.9,49.7
St. Louis Blues,19971998,82,45,29,8,--,98,0.598,43,45,0,256,204,3.12,2.49,16.9,86.7,15.8,89.9,26.9,24.1,51
Philadelphia Flyers,19971998,82,42,29,11,--,95,0.579,39,42,0,242,193,2.95,2.35,17.8,86.7,15.5,88.5,28.7,25.4,54.5
Colorado Avalanche,19971998,82,39,26,17,--,95,0.579,37,39,0,231,205,2.82,2.5,17.4,87,14.6,89,27.9,29.5,47.9
Washington Capitals,19971998,82,40,30,12,--,92,0.561,36,40,0,219,202,2.67,2.46,15.7,89.2,14.6,93.1,27.1,28,52.3
Boston Bruins,19971998,82,39,30,13,--,91,0.555,36,39,0,221,194,2.7,2.37,17.3,84.6,16.4,86.3,27.2,26.4,52
Buffalo Sabres,19971998,82,36,29,17,--,89,0.543,33,36,0,211,187,2.57,2.28,12.9,84.3,9.9,87.9,26.5,31.2,47.4
Montréal Canadiens,19971998,82,37,32,13,--,87,0.53,34,37,0,235,208,2.87,2.54,18.3,84.5,16.1,87.8,27.8,26,50
Los Angeles Kings,19971998,82,38,33,11,--,87,0.53,35,38,0,227,225,2.77,2.74,14.2,84.2,10.9,86.7,26.8,30.3,51.2
Ottawa Senators,19971998,82,34,33,15,--,83,0.506,32,34,0,193,200,2.35,2.44,12.8,84.5,10.4,86.5,29.3,24.9,47.7
Phoenix Coyotes,19971998,82,35,35,12,--,82,0.5,35,35,0,224,227,2.73,2.77,14.8,83.8,13.3,86.3,27.7,27.1,50
Edmonton Oilers,19971998,82,35,37,10,--,80,0.488,32,35,0,215,224,2.62,2.73,15.9,83.7,13.7,86.2,28.7,28.2,46.6
San Jose Sharks,19971998,82,34,38,10,--,78,0.476,34,34,0,210,216,2.56,2.63,13.5,85.2,12.3,87.7,26.5,24.6,49.5
Carolina Hurricanes,19971998,82,33,41,8,--,74,0.451,31,33,0,200,219,2.44,2.67,13.2,85.2,10.6,87.2,26.5,27.6,49
Chicago Blackhawks,19971998,82,30,39,13,--,73,0.445,29,30,0,192,199,2.34,2.43,13,84.8,11.6,88.2,27.8,26.7,50.4
New York Islanders,19971998,82,30,41,11,--,71,0.433,30,30,0,212,225,2.59,2.74,16.7,85.9,12.3,88.8,25.8,28.8,49.8
Toronto Maple Leafs,19971998,82,30,43,9,--,69,0.421,29,30,0,194,237,2.37,2.89,11.4,86.6,7.8,87.9,27.7,28.7,49.8
New York Rangers,19971998,82,25,39,18,--,68,0.415,23,25,0,197,231,2.4,2.82,17.7,85.4,14,85.4,25.3,28,48.5
